From,To,Weight
West Bengal,State - JAMMU & KASHMIR (01),4766
Madhya Pradesh,State - JHARKHAND (20),4770
Rajasthan,State - DADRA & NAGAR HAVELI (26),4776
Jharkhand,State - TAMIL NADU (33),4792
Kerala,State - RAJASTHAN (08),4814
Jammu & Kashmir,State - KARNATAKA (29),4835
Tamil Nadu,State - HARYANA (06),4863
Chhattisgarh,State - KARNATAKA (29),4883
Punjab,State - BIHAR (10),4892
NCT of Delhi,State - JHARKHAND (20),4896
Chhattisgarh,State - RAJASTHAN (08),4911
Daman & Diu,State - GUJARAT (24),4917
Manipur,State - MIZORAM (15),4925
Rajasthan,State - HIMACHAL PRADESH (02),5001
Sikkim,State - WEST BENGAL (19),5035
Chhattisgarh,State - PUNJAB (03),5118
Gujarat,State - WEST BENGAL (19),5123
Manipur,State - ASSAM (18),5138
Assam,State - TAMIL NADU (33),5152
Tamil Nadu,State - UTTAR PRADESH (09),5159
Madhya Pradesh,State - ODISHA (21),5225
Odisha,State - PUNJAB (03),5284
Uttarakhand,State - MADHYA PRADESH (23),5284
Tamil Nadu,State - RAJASTHAN (08),5332
Assam,State - BIHAR (10),5335
NCT of Delhi,State - ODISHA (21),5385
Rajasthan,State - KERALA (32),5433
Bihar,State - SIKKIM (11),5470
NCT of Delhi,State - CHHATTISGARH (22),5479
Punjab,State - WEST BENGAL (19),5510
Tripura,State - WEST BENGAL (19),5569
Gujarat,State - PUNJAB (03),5593
Madhya Pradesh,State - TAMIL NADU (33),5596
Madhya Pradesh,State - WEST BENGAL (19),5762
Gujarat,State - KERALA (32),5775
Bihar,State - GOA (30),5781
Gujarat,State - CHHATTISGARH (22),5785
Uttarakhand,State - GUJARAT (24),5799
Punjab,State - CHHATTISGARH (22),5894
Haryana,State - CHHATTISGARH (22),5924
Assam,State - PUNJAB (03),5946
Chhattisgarh,State - NCT OF DELHI (07),5993
Karnataka,State - UTTAR PRADESH (09),6079
Assam,State - KERALA (32),6102
Karnataka,State - HARYANA (06),6156
Maharashtra,State - JHARKHAND (20),6177
Himachal Pradesh,State - MAHARASHTRA (27),6211
Jammu & Kashmir,State - RAJASTHAN (08),6251
Andhra Pradesh,State - WEST BENGAL (19),6275
Chhattisgarh,State - JAMMU & KASHMIR (01),6294
Chandigarh,State - HIMACHAL PRADESH (02),6431
Odisha,State - RAJASTHAN (08),6491
Assam,State - RAJASTHAN (08),6591
Jharkhand,State - ANDHRA PRADESH (28),6683
Jharkhand,State - UTTARAKHAND (05),6684
NCT of Delhi,State - TAMIL NADU (33),6754
Andhra Pradesh,State - HARYANA (06),6802
Manipur,State - NAGALAND (13),6809
Himachal Pradesh,State - UTTAR PRADESH (09),6941
Madhya Pradesh,State - DAMAN & DIU (25),6952
Bihar,State - JAMMU & KASHMIR (01),6970
Maharashtra,State - UTTARAKHAND (05),7011
Gujarat,State - HARYANA (06),7016
Bihar,State - KERALA (32),7066
Rajasthan,State - ASSAM (18),7101
Karnataka,State - RAJASTHAN (08),7215
Madhya Pradesh,State - UTTARAKHAND (05),7227
Kerala,State - UTTAR PRADESH (09),7259
Kerala,State - MADHYA PRADESH (23),7330
Punjab,State - KARNATAKA (29),7353
Jammu & Kashmir,State - HIMACHAL PRADESH (02),7389
Rajasthan,State - CHHATTISGARH (22),7391
Andhra Pradesh,State - RAJASTHAN (08),7486
Bihar,State - ARUNACHAL PRADESH (12),7520
Jammu & Kashmir,State - HARYANA (06),7626
Bihar,State - NAGALAND (13),7646
Maharashtra,State - BIHAR (10),7754
Puducherry,State - KERALA (32),7836
Assam,State - MIZORAM (15),7908
Uttar Pradesh,State - KERALA (32),7912
Jharkhand,State - RAJASTHAN (08),7957
Jharkhand,State - HIMACHAL PRADESH (02),7959
Uttar Pradesh,State - ASSAM (18),8008
Himachal Pradesh,State - UTTARAKHAND (05),8089
Karnataka,State - NCT OF DELHI (07),8168
Chhattisgarh,State - HARYANA (06),8310
Gujarat,State - TAMIL NADU (33),8336
Assam,State - GUJARAT (24),8371
Andhra Pradesh,State - UTTAR PRADESH (09),8470
Haryana,State - KARNATAKA (29),8657
Assam,State - HARYANA (06),8688
Kerala,State - PUDUCHERRY (34),8737
Chhattisgarh,State - GUJARAT (24),8786
NCT of Delhi,State - WEST BENGAL (19),8792
NCT of Delhi,State - CHANDIGARH (04),8892
Daman & Diu,State - DAMAN & DIU (25),8902
Rajasthan,State - UTTARAKHAND (05),8970
Madhya Pradesh,State - ANDHRA PRADESH (28),8983
Andhra Pradesh,State - MADHYA PRADESH (23),9052
Bihar,State - TRIPURA (16),9065
Haryana,State - MADHYA PRADESH (23),9071
Tripura,State - ASSAM (18),9110
West Bengal,State - UTTARAKHAND (05),9111
Odisha,State - KERALA (32),9117
West Bengal,State - ANDAMAN & NICOBAR ISLANDS (35),9261
NCT of Delhi,State - KERALA (32),9304
Maharashtra,State - ODISHA (21),9561
Uttarakhand,State - RAJASTHAN (08),9637
Arunachal Pradesh,State - ASSAM (18),9715
NCT of Delhi,State - ANDHRA PRADESH (28),9727
Odisha,State - HARYANA (06),9829
Gujarat,State - NCT OF DELHI (07),9829
Maharashtra,State - DAMAN & DIU (25),9845
Gujarat,State - ANDHRA PRADESH (28),10171
Lakshadweep,State - LAKSHADWEEP (31),10231
NCT of Delhi,State - HIMACHAL PRADESH (02),10238
Nagaland,State - ASSAM (18),10427
Jharkhand,State - PUNJAB (03),10429
Assam,State - TRIPURA (16),10451
Punjab,State - MADHYA PRADESH (23),10519
Uttar Pradesh,State - JAMMU & KASHMIR (01),10639
Jammu & Kashmir,State - MAHARASHTRA (27),10712
Jammu & Kashmir,State - UTTAR PRADESH (09),10726
Uttarakhand,State - HIMACHAL PRADESH (02),10934
Goa,State - KARNATAKA (29),11308
Andhra Pradesh,State - KERALA (32),11486
Andhra Pradesh,State - NCT OF DELHI (07),11517
Gujarat,State - DAMAN & DIU (25),11663
Gujarat,State - UTTAR PRADESH (09),11849
Uttarakhand,State - CHANDIGARH (04),12313
Andhra Pradesh,State - PUDUCHERRY (34),12432
Punjab,State - GUJARAT (24),12464
Jharkhand,State - TRIPURA (16),12619
Tamil Nadu,State - GUJARAT (24),12820
Uttar Pradesh,State - GOA (30),12897
Odisha,State - MADHYA PRADESH (23),12963
Jharkhand,State - HARYANA (06),13142
Punjab,State - UTTARAKHAND (05),13470
Punjab,State - JAMMU & KASHMIR (01),13476
Meghalaya,State - ASSAM (18),13528
Andhra Pradesh,State - CHHATTISGARH (22),13910
Maharashtra,State - WEST BENGAL (19),14002
Karnataka,State - GUJARAT (24),14062
Chhattisgarh,State - JHARKHAND (20),14151
Maharashtra,State - PUNJAB (03),14188
NCT of Delhi,State - MADHYA PRADESH (23),14266
Assam,State - UTTAR PRADESH (09),14506
Chhattisgarh,State - ANDHRA PRADESH (28),14517
Assam,State - NCT OF DELHI (07),14627
Kerala,State - GUJARAT (24),14670
West Bengal,State - TAMIL NADU (33),14709
Haryana,State - UTTARAKHAND (05),14798
Gujarat,State - DADRA & NAGAR HAVELI (26),14812
Total,State - LAKSHADWEEP (31),14854
Uttar Pradesh,State - ODISHA (21),14897
Rajasthan,State - WEST BENGAL (19),15004
Madhya Pradesh,State - PUNJAB (03),15038
Odisha,State - TAMIL NADU (33),15085
Jharkhand,State - MADHYA PRADESH (23),15096
Madhya Pradesh,State - KARNATAKA (29),15141
Haryana,State - GUJARAT (24),15185
Haryana,State - HIMACHAL PRADESH (02),15188
Tamil Nadu,State - NCT OF DELHI (07),15230
NCT of Delhi,State - BIHAR (10),15280
Jammu & Kashmir,State - NCT OF DELHI (07),15712
NCT of Delhi,State - GUJARAT (24),15732
Maharashtra,State - DADRA & NAGAR HAVELI (26),15815
West Bengal,State - SIKKIM (11),15963
Bihar,State - DADRA & NAGAR HAVELI (26),15989
Uttar Pradesh,State - TAMIL NADU (33),16358
Jharkhand,State - KARNATAKA (29),16368
Dadra & Nagar Haveli,State - DADRA & NAGAR HAVELI (26),16926
Odisha,State - UTTAR PRADESH (09),17023
Kerala,State - ANDHRA PRADESH (28),17071
NCT of Delhi,State - PUNJAB (03),17412
Bihar,State - TAMIL NADU (33),17779
Gujarat,State - ODISHA (21),18781
Assam,State - KARNATAKA (29),19083
West Bengal,State - CHHATTISGARH (22),19154
West Bengal,State - PUNJAB (03),19389
Maharashtra,State - HARYANA (06),19498
Uttarakhand,State - MAHARASHTRA (27),19814
Gujarat,State - KARNATAKA (29),19944
Goa,State - MAHARASHTRA (27),19979
West Bengal,State - MADHYA PRADESH (23),20002
Assam,State - MAHARASHTRA (27),20192
Andhra Pradesh,State - GUJARAT (24),21052
Kerala,State - NCT OF DELHI (07),21439
Assam,State - MEGHALAYA (17),21490
Odisha,State - NCT OF DELHI (07),21583
Uttar Pradesh,State - DADRA & NAGAR HAVELI (26),21687
Uttarakhand,State - PUNJAB (03),21789
Himachal Pradesh,State - NCT OF DELHI (07),22508
Himachal Pradesh,State - HARYANA (06),22681
NCT of Delhi,State - KARNATAKA (29),22897
Uttar Pradesh,State - DAMAN & DIU (25),23355
Himachal Pradesh,State - CHANDIGARH (04),23692
West Bengal,State - KERALA (32),23706
Assam,State - NAGALAND (13),23767
West Bengal,State - ANDHRA PRADESH (28),23851
Haryana,State - MAHARASHTRA (27),23917
Jammu & Kashmir,State - PUNJAB (03),23944
West Bengal,State - ASSAM (18),24172
Bihar,State - CHANDIGARH (04),24249
Bihar,State - DAMAN & DIU (25),24663
Maharashtra,State - KERALA (32),24822
Bihar,State - ANDHRA PRADESH (28),25019
Uttar Pradesh,State - ANDHRA PRADESH (28),25755
Bihar,State - HIMACHAL PRADESH (02),26779
Punjab,State - MAHARASHTRA (27),27388
Maharashtra,State - NCT OF DELHI (07),27801
NCT of Delhi,State - UTTARAKHAND (05),28554
Chandigarh,State - HARYANA (06),28986
Rajasthan,State - ANDHRA PRADESH (28),30514
Maharashtra,State - GOA (30),30644
Uttarakhand,State - HARYANA (06),30691
Chhattisgarh,State - UTTAR PRADESH (09),31435
Rajasthan,State - TAMIL NADU (33),31602
Haryana,State - CHANDIGARH (04),31690
Uttar Pradesh,State - JHARKHAND (20),31920
West Bengal,State - RAJASTHAN (08),33251
Gujarat,State - MADHYA PRADESH (23),33791
Jharkhand,State - GUJARAT (24),35774
Madhya Pradesh,State - HARYANA (06),35833
Jharkhand,State - NCT OF DELHI (07),37348
Bihar,State - ASSAM (18),37643
Maharashtra,State - UTTAR PRADESH (09),37653
Punjab,State - UTTAR PRADESH (09),37904
Chhattisgarh,State - ODISHA (21),38256
Maharashtra,State - RAJASTHAN (08),38553
Maharashtra,State - TAMIL NADU (33),38598
NCT of Delhi,State - RAJASTHAN (08),38690
Andhra Pradesh,State - ODISHA (21),40482
Maharashtra,State - CHHATTISGARH (22),40782
Assam,State - ARUNACHAL PRADESH (12),41395
Bihar,State - UTTARAKHAND (05),42034
Uttar Pradesh,State - HIMACHAL PRADESH (02),42254
Jharkhand,State - CHHATTISGARH (22),42262
Odisha,State - WEST BENGAL (19),43423
NCT of Delhi,State - MAHARASHTRA (27),43565
Assam,State - WEST BENGAL (19),43796
Odisha,State - JHARKHAND (20),44084
Bihar,State - ODISHA (21),45498
West Bengal,State - KARNATAKA (29),46601
Punjab,State - CHANDIGARH (04),47430
Jharkhand,State - UTTAR PRADESH (09),47892
Punjab,State - NCT OF DELHI (07),48742
Punjab,State - HIMACHAL PRADESH (02),48887
Odisha,State - KARNATAKA (29),49275
West Bengal,State - HARYANA (06),49421
Karnataka,State - KERALA (32),50647
West Bengal,State - ODISHA (21),50770
West Bengal,State - GUJARAT (24),51430
Bihar,State - MADHYA PRADESH (23),52280
Karnataka,State - GOA (30),53091
Punjab,State - RAJASTHAN (08),54541
Madhya Pradesh,State - NCT OF DELHI (07),56527
Jharkhand,State - ODISHA (21),56704
Chhattisgarh,State - MADHYA PRADESH (23),57514
Bihar,State - CHHATTISGARH (22),59180
Bihar,State - KARNATAKA (29),59985
Sikkim,State - SIKKIM (11),60375
Uttar Pradesh,State - KARNATAKA (29),60977
Himachal Pradesh,State - PUNJAB (03),61188
Uttar Pradesh,State - WEST BENGAL (19),61587
Jharkhand,State - MAHARASHTRA (27),62040
Andaman & Nicobar Islands,State - ANDAMAN & NICOBAR ISLANDS (35),62374
Uttar Pradesh,State - CHHATTISGARH (22),64452
West Bengal,State - BIHAR (10),66418
Odisha,State - MAHARASHTRA (27),67971
Rajasthan,State - PUNJAB (03),68241
Uttar Pradesh,State - CHANDIGARH (04),68534
Kerala,State - MAHARASHTRA (27),68815
West Bengal,State - UTTAR PRADESH (09),69399
Rajasthan,State - KARNATAKA (29),69573
Bihar,State - RAJASTHAN (08),70633
Chandigarh,State - PUNJAB (03),71776
Tamil Nadu,State - MAHARASHTRA (27),72703
Haryana,State - UTTAR PRADESH (09),76086
Gujarat,State - RAJASTHAN (08),76479
Chhattisgarh,State - MAHARASHTRA (27),76571
Odisha,State - CHHATTISGARH (22),76901
West Bengal,State - NCT OF DELHI (07),79681
Uttar Pradesh,State - BIHAR (10),80400
Rajasthan,State - UTTAR PRADESH (09),81391
Odisha,State - ANDHRA PRADESH (28),82622
Tamil Nadu,State - ANDHRA PRADESH (28),88963
Total,State - ANDAMAN & NICOBAR ISLANDS (35),89438
Total,State - SIKKIM (11),91206
Maharashtra,State - ANDHRA PRADESH (28),92649
Puducherry,State - TAMIL NADU (33),93828
Uttarakhand,State - NCT OF DELHI (07),96244
Tamil Nadu,State - PUDUCHERRY (34),96412
Rajasthan,State - NCT OF DELHI (07),96574
Mizoram,State - MIZORAM (15),103357
Total,State - DAMAN & DIU (25),104620
Odisha,State - GUJARAT (24),107588
Andhra Pradesh,State - TAMIL NADU (33),107983
Total,State - DADRA & NAGAR HAVELI (26),108242
Madhya Pradesh,State - CHHATTISGARH (22),112813
Karnataka,State - TAMIL NADU (33),118530
Total,State - MIZORAM (15),123819
Tamil Nadu,State - KERALA (32),124483
Jharkhand,State - BIHAR (10),125305
Uttarakhand,State - UTTAR PRADESH (09),130268
Puducherry,State - PUDUCHERRY (34),134354
Jharkhand,State - WEST BENGAL (19),139398
Madhya Pradesh,State - GUJARAT (24),142444
Meghalaya,State - MEGHALAYA (17),145229
Punjab,State - HARYANA (06),145584
West Bengal,State - JHARKHAND (20),145939
Kerala,State - KARNATAKA (29),150037
Karnataka,State - ANDHRA PRADESH (28),151995
Maharashtra,State - MADHYA PRADESH (23),158335
Rajasthan,State - MADHYA PRADESH (23),160310
Haryana,State - PUNJAB (03),162356
Andhra Pradesh,State - MAHARASHTRA (27),162755
Haryana,State - RAJASTHAN (08),165505
Kerala,State - TAMIL NADU (33),165723
Bihar,State - PUNJAB (03),171593
West Bengal,State - MAHARASHTRA (27),175267
Manipur,State - MANIPUR (14),175329
Arunachal Pradesh,State - ARUNACHAL PRADESH (12),178863
Total,State - MANIPUR (14),182177
Haryana,State - NCT OF DELHI (07),184892
Total,State - MEGHALAYA (17),187962
Nagaland,State - NAGALAND (13),188901
Madhya Pradesh,State - UTTAR PRADESH (09),191711
Rajasthan,State - HARYANA (06),192074
Madhya Pradesh,State - RAJASTHAN (08),200727
Maharashtra,State - KARNATAKA (29),222664
NCT of Delhi,State - HARYANA (06),222988
Rajasthan,State - MAHARASHTRA (27),225488
Bihar,State - HARYANA (06),225868
Uttar Pradesh,State - RAJASTHAN (08),231010
Bihar,State - GUJARAT (24),237094
Total,State - NAGALAND (13),239462
Total,State - ARUNACHAL PRADESH (12),241443
Total,State - CHANDIGARH (04),245765
NCT of Delhi,State - NCT OF DELHI (07),256346
Total,State - PUDUCHERRY (34),259635
Goa,State - GOA (30),260989
NCT of Delhi,State - UTTAR PRADESH (09),271932
Gujarat,State - MAHARASHTRA (27),279594
Tamil Nadu,State - KARNATAKA (29),283251
Tripura,State - TRIPURA (16),287475
Uttar Pradesh,State - PUNJAB (03),291331
Bihar,State - WEST BENGAL (19),299184
Bihar,State - MAHARASHTRA (27),310656
Rajasthan,State - GUJARAT (24),312794
Uttar Pradesh,State - MADHYA PRADESH (23),320604
Total,State - TRIPURA (16),327335
Madhya Pradesh,State - MAHARASHTRA (27),333821
Bihar,State - UTTAR PRADESH (09),349722
Uttar Pradesh,State - UTTARAKHAND (05),363951
Maharashtra,State - GUJARAT (24),376119
Andhra Pradesh,State - KARNATAKA (29),381946
Bihar,State - JHARKHAND (20),385492
Total,State - GOA (30),396445
Uttar Pradesh,State - HARYANA (06),472193
Karnataka,State - MAHARASHTRA (27),478359
Uttar Pradesh,State - GUJARAT (24),504548
Bihar,State - NCT OF DELHI (07),516632
Himachal Pradesh,State - HIMACHAL PRADESH (02),650474
Jammu & Kashmir,State - JAMMU & KASHMIR (01),718300
Total,State - JAMMU & KASHMIR (01),788928
Total,State - HIMACHAL PRADESH (02),856370
Uttar Pradesh,State - NCT OF DELHI (07),959658
Uttarakhand,State - UTTARAKHAND (05),1010264
Uttar Pradesh,State - MAHARASHTRA (27),1149726
Total,State - UTTARAKHAND (05),1545153
Haryana,State - HARYANA (06),1928466
Jharkhand,State - JHARKHAND (20),2206400
Chhattisgarh,State - CHHATTISGARH (22),2434137
Total,State - NCT OF DELHI (07),2521836
Punjab,State - PUNJAB (03),2568732
Assam,State - ASSAM (18),2577931
Total,State - ASSAM (18),2720204
Total,State - JHARKHAND (20),2867456
Total,State - CHHATTISGARH (22),2909740
Total,State - HARYANA (06),3453628
Total,State - PUNJAB (03),3555241
Odisha,State - ODISHA (21),3983612
Total,State - ODISHA (21),4294259
Kerala,State - KERALA (32),5380723
Total,State - KERALA (32),5693564
Rajasthan,State - RAJASTHAN (08),5783229
Bihar,State - BIHAR (10),6251224
Total,State - BIHAR (10),6579514
Madhya Pradesh,State - MADHYA PRADESH (23),6685861
Total,State - RAJASTHAN (08),6767960
Karnataka,State - KARNATAKA (29),7170934
Gujarat,State - GUJARAT (24),7191353
Total,State - MADHYA PRADESH (23),7591689
West Bengal,State - WEST BENGAL (19),7643237
Total,State - WEST BENGAL (19),8331752
Total,State - KARNATAKA (29),8647134
Total,State - GUJARAT (24),9106032
Tamil Nadu,State - TAMIL NADU (33),9309427
Total,State - TAMIL NADU (33),9977915
Andhra Pradesh,State - ANDHRA PRADESH (28),9988305
Total,State - ANDHRA PRADESH (28),10599362
Uttar Pradesh,State - UTTAR PRADESH (09),12128007
Total,State - UTTAR PRADESH (09),13548890
Maharashtra,State - MAHARASHTRA (27),15996425
Total,State - MAHARASHTRA (27),19644780
