,From,To,Weight
810,TAMIL NADU,MADHYA PRADESH,4181
811,ASSAM,ANDHRA PRADESH,4184
812,ANDHRA PRADESH,ANDAMAN & NICOBAR ISLANDS,4196
813,JAMMU & KASHMIR,CHHATTISGARH,4209
814,MADHYA PRADESH,KERALA,4226
815,RAJASTHAN,ODISHA,4235
816,MADHYA PRADESH,HIMACHAL PRADESH,4236
817,WEST BENGAL,DAMAN & DIU,4267
818,DADRA & NAGAR HAVELI,GUJARAT,4307
819,BIHAR,MEGHALAYA,4437
820,RAJASTHAN,CHANDIGARH,4456
821,MADHYA PRADESH,JAMMU & KASHMIR,4554
822,ANDHRA PRADESH,PUNJAB,4644
823,TAMIL NADU,ANDAMAN & NICOBAR ISLANDS,4765
824,WEST BENGAL,JAMMU & KASHMIR,4766
825,MADHYA PRADESH,JHARKHAND,4770
826,RAJASTHAN,DADRA & NAGAR HAVELI,4776
827,JHARKHAND,TAMIL NADU,4792
828,KERALA,RAJASTHAN,4814
829,JAMMU & KASHMIR,KARNATAKA,4835
830,TAMIL NADU,HARYANA,4863
831,CHHATTISGARH,KARNATAKA,4883
832,PUNJAB,BIHAR,4892
833,NCT OF DELHI,JHARKHAND,4896
834,CHHATTISGARH,RAJASTHAN,4911
835,DAMAN & DIU,GUJARAT,4917
836,MANIPUR,MIZORAM,4925
837,RAJASTHAN,HIMACHAL PRADESH,5001
838,SIKKIM,WEST BENGAL,5035
839,CHHATTISGARH,PUNJAB,5118
840,GUJARAT,WEST BENGAL,5123
841,MANIPUR,ASSAM,5138
842,ASSAM,TAMIL NADU,5152
843,TAMIL NADU,UTTAR PRADESH,5159
844,MADHYA PRADESH,ODISHA,5225
845,ODISHA,PUNJAB,5284
846,UTTARAKHAND,MADHYA PRADESH,5284
847,TAMIL NADU,RAJASTHAN,5332
848,ASSAM,BIHAR,5335
849,NCT OF DELHI,ODISHA,5385
850,RAJASTHAN,KERALA,5433
851,BIHAR,SIKKIM,5470
852,NCT OF DELHI,CHHATTISGARH,5479
853,PUNJAB,WEST BENGAL,5510
854,TRIPURA,WEST BENGAL,5569
855,GUJARAT,PUNJAB,5593
856,MADHYA PRADESH,TAMIL NADU,5596
857,MADHYA PRADESH,WEST BENGAL,5762
858,GUJARAT,KERALA,5775
859,BIHAR,GOA,5781
860,GUJARAT,CHHATTISGARH,5785
861,UTTARAKHAND,GUJARAT,5799
862,PUNJAB,CHHATTISGARH,5894
863,HARYANA,CHHATTISGARH,5924
864,ASSAM,PUNJAB,5946
865,CHHATTISGARH,NCT OF DELHI,5993
866,KARNATAKA,UTTAR PRADESH,6079
867,ASSAM,KERALA,6102
868,KARNATAKA,HARYANA,6156
869,MAHARASHTRA,JHARKHAND,6177
870,HIMACHAL PRADESH,MAHARASHTRA,6211
871,JAMMU & KASHMIR,RAJASTHAN,6251
872,ANDHRA PRADESH,WEST BENGAL,6275
873,CHHATTISGARH,JAMMU & KASHMIR,6294
874,CHANDIGARH,HIMACHAL PRADESH,6431
875,ODISHA,RAJASTHAN,6491
876,ASSAM,RAJASTHAN,6591
877,JHARKHAND,ANDHRA PRADESH,6683
878,JHARKHAND,UTTARAKHAND,6684
879,NCT OF DELHI,TAMIL NADU,6754
880,ANDHRA PRADESH,HARYANA,6802
881,MANIPUR,NAGALAND,6809
882,HIMACHAL PRADESH,UTTAR PRADESH,6941
883,MADHYA PRADESH,DAMAN & DIU,6952
884,BIHAR,JAMMU & KASHMIR,6970
885,MAHARASHTRA,UTTARAKHAND,7011
886,GUJARAT,HARYANA,7016
887,BIHAR,KERALA,7066
888,RAJASTHAN,ASSAM,7101
889,KARNATAKA,RAJASTHAN,7215
890,MADHYA PRADESH,UTTARAKHAND,7227
891,KERALA,UTTAR PRADESH,7259
892,KERALA,MADHYA PRADESH,7330
893,PUNJAB,KARNATAKA,7353
894,JAMMU & KASHMIR,HIMACHAL PRADESH,7389
895,RAJASTHAN,CHHATTISGARH,7391
896,ANDHRA PRADESH,RAJASTHAN,7486
897,BIHAR,ARUNACHAL PRADESH,7520
898,JAMMU & KASHMIR,HARYANA,7626
899,BIHAR,NAGALAND,7646
900,MAHARASHTRA,BIHAR,7754
901,PUDUCHERRY,KERALA,7836
902,ASSAM,MIZORAM,7908
903,UTTAR PRADESH,KERALA,7912
904,JHARKHAND,RAJASTHAN,7957
905,JHARKHAND,HIMACHAL PRADESH,7959
906,UTTAR PRADESH,ASSAM,8008
907,HIMACHAL PRADESH,UTTARAKHAND,8089
908,KARNATAKA,NCT OF DELHI,8168
909,CHHATTISGARH,HARYANA,8310
910,GUJARAT,TAMIL NADU,8336
911,ASSAM,GUJARAT,8371
912,ANDHRA PRADESH,UTTAR PRADESH,8470
913,HARYANA,KARNATAKA,8657
914,ASSAM,HARYANA,8688
915,KERALA,PUDUCHERRY,8737
916,CHHATTISGARH,GUJARAT,8786
917,NCT OF DELHI,WEST BENGAL,8792
918,NCT OF DELHI,CHANDIGARH,8892
919,DAMAN & DIU,DAMAN & DIU,8902
920,RAJASTHAN,UTTARAKHAND,8970
921,MADHYA PRADESH,ANDHRA PRADESH,8983
922,ANDHRA PRADESH,MADHYA PRADESH,9052
923,BIHAR,TRIPURA,9065
924,HARYANA,MADHYA PRADESH,9071
925,TRIPURA,ASSAM,9110
926,WEST BENGAL,UTTARAKHAND,9111
927,ODISHA,KERALA,9117
928,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,9261
929,NCT OF DELHI,KERALA,9304
930,MAHARASHTRA,ODISHA,9561
931,UTTARAKHAND,RAJASTHAN,9637
932,ARUNACHAL PRADESH,ASSAM,9715
933,NCT OF DELHI,ANDHRA PRADESH,9727
934,ODISHA,HARYANA,9829
935,GUJARAT,NCT OF DELHI,9829
936,MAHARASHTRA,DAMAN & DIU,9845
937,GUJARAT,ANDHRA PRADESH,10171
938,LAKSHADWEEP,LAKSHADWEEP,10231
939,NCT OF DELHI,HIMACHAL PRADESH,10238
940,NAGALAND,ASSAM,10427
941,JHARKHAND,PUNJAB,10429
942,ASSAM,TRIPURA,10451
943,PUNJAB,MADHYA PRADESH,10519
944,UTTAR PRADESH,JAMMU & KASHMIR,10639
945,JAMMU & KASHMIR,MAHARASHTRA,10712
946,JAMMU & KASHMIR,UTTAR PRADESH,10726
947,UTTARAKHAND,HIMACHAL PRADESH,10934
948,GOA,KARNATAKA,11308
949,ANDHRA PRADESH,KERALA,11486
950,ANDHRA PRADESH,NCT OF DELHI,11517
951,GUJARAT,DAMAN & DIU,11663
952,GUJARAT,UTTAR PRADESH,11849
953,UTTARAKHAND,CHANDIGARH,12313
954,ANDHRA PRADESH,PUDUCHERRY,12432
955,PUNJAB,GUJARAT,12464
956,JHARKHAND,TRIPURA,12619
957,TAMIL NADU,GUJARAT,12820
958,UTTAR PRADESH,GOA,12897
959,ODISHA,MADHYA PRADESH,12963
960,JHARKHAND,HARYANA,13142
961,PUNJAB,UTTARAKHAND,13470
962,PUNJAB,JAMMU & KASHMIR,13476
963,MEGHALAYA,ASSAM,13528
964,ANDHRA PRADESH,CHHATTISGARH,13910
965,MAHARASHTRA,WEST BENGAL,14002
966,KARNATAKA,GUJARAT,14062
967,CHHATTISGARH,JHARKHAND,14151
968,MAHARASHTRA,PUNJAB,14188
969,NCT OF DELHI,MADHYA PRADESH,14266
970,ASSAM,UTTAR PRADESH,14506
971,CHHATTISGARH,ANDHRA PRADESH,14517
972,ASSAM,NCT OF DELHI,14627
973,KERALA,GUJARAT,14670
974,WEST BENGAL,TAMIL NADU,14709
975,HARYANA,UTTARAKHAND,14798
976,GUJARAT,DADRA & NAGAR HAVELI,14812
978,UTTAR PRADESH,ODISHA,14897
979,RAJASTHAN,WEST BENGAL,15004
980,MADHYA PRADESH,PUNJAB,15038
981,ODISHA,TAMIL NADU,15085
982,JHARKHAND,MADHYA PRADESH,15096
983,MADHYA PRADESH,KARNATAKA,15141
984,HARYANA,GUJARAT,15185
985,HARYANA,HIMACHAL PRADESH,15188
986,TAMIL NADU,NCT OF DELHI,15230
987,NCT OF DELHI,BIHAR,15280
988,JAMMU & KASHMIR,NCT OF DELHI,15712
989,NCT OF DELHI,GUJARAT,15732
990,MAHARASHTRA,DADRA & NAGAR HAVELI,15815
991,WEST BENGAL,SIKKIM,15963
992,BIHAR,DADRA & NAGAR HAVELI,15989
993,UTTAR PRADESH,TAMIL NADU,16358
994,JHARKHAND,KARNATAKA,16368
995,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,16926
996,ODISHA,UTTAR PRADESH,17023
997,KERALA,ANDHRA PRADESH,17071
998,NCT OF DELHI,PUNJAB,17412
999,BIHAR,TAMIL NADU,17779
1000,GUJARAT,ODISHA,18781
1001,ASSAM,KARNATAKA,19083
1002,WEST BENGAL,CHHATTISGARH,19154
1003,WEST BENGAL,PUNJAB,19389
1004,MAHARASHTRA,HARYANA,19498
1005,UTTARAKHAND,MAHARASHTRA,19814
1006,GUJARAT,KARNATAKA,19944
1007,GOA,MAHARASHTRA,19979
1008,WEST BENGAL,MADHYA PRADESH,20002
1009,ASSAM,MAHARASHTRA,20192
1010,ANDHRA PRADESH,GUJARAT,21052
1011,KERALA,NCT OF DELHI,21439
1012,ASSAM,MEGHALAYA,21490
1013,ODISHA,NCT OF DELHI,21583
1014,UTTAR PRADESH,DADRA & NAGAR HAVELI,21687
1015,UTTARAKHAND,PUNJAB,21789
1016,HIMACHAL PRADESH,NCT OF DELHI,22508
1017,HIMACHAL PRADESH,HARYANA,22681
1018,NCT OF DELHI,KARNATAKA,22897
1019,UTTAR PRADESH,DAMAN & DIU,23355
1020,HIMACHAL PRADESH,CHANDIGARH,23692
1021,WEST BENGAL,KERALA,23706
1022,ASSAM,NAGALAND,23767
1023,WEST BENGAL,ANDHRA PRADESH,23851
1024,HARYANA,MAHARASHTRA,23917
1025,JAMMU & KASHMIR,PUNJAB,23944
1026,WEST BENGAL,ASSAM,24172
1027,BIHAR,CHANDIGARH,24249
1028,BIHAR,DAMAN & DIU,24663
1029,MAHARASHTRA,KERALA,24822
1030,BIHAR,ANDHRA PRADESH,25019
1031,UTTAR PRADESH,ANDHRA PRADESH,25755
1032,BIHAR,HIMACHAL PRADESH,26779
1033,PUNJAB,MAHARASHTRA,27388
1034,MAHARASHTRA,NCT OF DELHI,27801
1035,NCT OF DELHI,UTTARAKHAND,28554
1036,CHANDIGARH,HARYANA,28986
1037,RAJASTHAN,ANDHRA PRADESH,30514
1038,MAHARASHTRA,GOA,30644
1039,UTTARAKHAND,HARYANA,30691
1040,CHHATTISGARH,UTTAR PRADESH,31435
1041,RAJASTHAN,TAMIL NADU,31602
1042,HARYANA,CHANDIGARH,31690
1043,UTTAR PRADESH,JHARKHAND,31920
1044,WEST BENGAL,RAJASTHAN,33251
1045,GUJARAT,MADHYA PRADESH,33791
1046,JHARKHAND,GUJARAT,35774
1047,MADHYA PRADESH,HARYANA,35833
1048,JHARKHAND,NCT OF DELHI,37348
1049,BIHAR,ASSAM,37643
1050,MAHARASHTRA,UTTAR PRADESH,37653
1051,PUNJAB,UTTAR PRADESH,37904
1052,CHHATTISGARH,ODISHA,38256
1053,MAHARASHTRA,RAJASTHAN,38553
1054,MAHARASHTRA,TAMIL NADU,38598
1055,NCT OF DELHI,RAJASTHAN,38690
1056,ANDHRA PRADESH,ODISHA,40482
1057,MAHARASHTRA,CHHATTISGARH,40782
1058,ASSAM,ARUNACHAL PRADESH,41395
1059,BIHAR,UTTARAKHAND,42034
1060,UTTAR PRADESH,HIMACHAL PRADESH,42254
1061,JHARKHAND,CHHATTISGARH,42262
1062,ODISHA,WEST BENGAL,43423
1063,NCT OF DELHI,MAHARASHTRA,43565
1064,ASSAM,WEST BENGAL,43796
1065,ODISHA,JHARKHAND,44084
1066,BIHAR,ODISHA,45498
1067,WEST BENGAL,KARNATAKA,46601
1068,PUNJAB,CHANDIGARH,47430
1069,JHARKHAND,UTTAR PRADESH,47892
1070,PUNJAB,NCT OF DELHI,48742
1071,PUNJAB,HIMACHAL PRADESH,48887
1072,ODISHA,KARNATAKA,49275
1073,WEST BENGAL,HARYANA,49421
1074,KARNATAKA,KERALA,50647
1075,WEST BENGAL,ODISHA,50770
1076,WEST BENGAL,GUJARAT,51430
1077,BIHAR,MADHYA PRADESH,52280
1078,KARNATAKA,GOA,53091
1079,PUNJAB,RAJASTHAN,54541
1080,MADHYA PRADESH,NCT OF DELHI,56527
1081,JHARKHAND,ODISHA,56704
1082,CHHATTISGARH,MADHYA PRADESH,57514
1083,BIHAR,CHHATTISGARH,59180
1084,BIHAR,KARNATAKA,59985
1085,SIKKIM,SIKKIM,60375
1086,UTTAR PRADESH,KARNATAKA,60977
1087,HIMACHAL PRADESH,PUNJAB,61188
1088,UTTAR PRADESH,WEST BENGAL,61587
1089,JHARKHAND,MAHARASHTRA,62040
1090,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,62374
1091,UTTAR PRADESH,CHHATTISGARH,64452
1092,WEST BENGAL,BIHAR,66418
1093,ODISHA,MAHARASHTRA,67971
1094,RAJASTHAN,PUNJAB,68241
1095,UTTAR PRADESH,CHANDIGARH,68534
1096,KERALA,MAHARASHTRA,68815
1097,WEST BENGAL,UTTAR PRADESH,69399
1098,RAJASTHAN,KARNATAKA,69573
1099,BIHAR,RAJASTHAN,70633
1100,CHANDIGARH,PUNJAB,71776
1101,TAMIL NADU,MAHARASHTRA,72703
1102,HARYANA,UTTAR PRADESH,76086
1103,GUJARAT,RAJASTHAN,76479
1104,CHHATTISGARH,MAHARASHTRA,76571
1105,ODISHA,CHHATTISGARH,76901
1106,WEST BENGAL,NCT OF DELHI,79681
1107,UTTAR PRADESH,BIHAR,80400
1108,RAJASTHAN,UTTAR PRADESH,81391
1109,ODISHA,ANDHRA PRADESH,82622
1110,TAMIL NADU,ANDHRA PRADESH,88963
1113,MAHARASHTRA,ANDHRA PRADESH,92649
1114,PUDUCHERRY,TAMIL NADU,93828
1115,UTTARAKHAND,NCT OF DELHI,96244
1116,TAMIL NADU,PUDUCHERRY,96412
1117,RAJASTHAN,NCT OF DELHI,96574
1118,MIZORAM,MIZORAM,103357
1120,ODISHA,GUJARAT,107588
1121,ANDHRA PRADESH,TAMIL NADU,107983
1123,MADHYA PRADESH,CHHATTISGARH,112813
1124,KARNATAKA,TAMIL NADU,118530
1126,TAMIL NADU,KERALA,124483
1127,JHARKHAND,BIHAR,125305
1128,UTTARAKHAND,UTTAR PRADESH,130268
1129,PUDUCHERRY,PUDUCHERRY,134354
1130,JHARKHAND,WEST BENGAL,139398
1131,MADHYA PRADESH,GUJARAT,142444
1132,MEGHALAYA,MEGHALAYA,145229
1133,PUNJAB,HARYANA,145584
1134,WEST BENGAL,JHARKHAND,145939
1135,KERALA,KARNATAKA,150037
1136,KARNATAKA,ANDHRA PRADESH,151995
1137,MAHARASHTRA,MADHYA PRADESH,158335
1138,RAJASTHAN,MADHYA PRADESH,160310
1139,HARYANA,PUNJAB,162356
1140,ANDHRA PRADESH,MAHARASHTRA,162755
1141,HARYANA,RAJASTHAN,165505
1142,KERALA,TAMIL NADU,165723
1143,BIHAR,PUNJAB,171593
1144,WEST BENGAL,MAHARASHTRA,175267
1145,MANIPUR,MANIPUR,175329
1146,ARUNACHAL PRADESH,ARUNACHAL PRADESH,178863
1148,HARYANA,NCT OF DELHI,184892
1150,NAGALAND,NAGALAND,188901
1151,MADHYA PRADESH,UTTAR PRADESH,191711
1152,RAJASTHAN,HARYANA,192074
1153,MADHYA PRADESH,RAJASTHAN,200727
1154,MAHARASHTRA,KARNATAKA,222664
1155,NCT OF DELHI,HARYANA,222988
1156,RAJASTHAN,MAHARASHTRA,225488
1157,BIHAR,HARYANA,225868
1158,UTTAR PRADESH,RAJASTHAN,231010
1159,BIHAR,GUJARAT,237094
1163,NCT OF DELHI,NCT OF DELHI,256346
1165,GOA,GOA,260989
1166,NCT OF DELHI,UTTAR PRADESH,271932
1167,GUJARAT,MAHARASHTRA,279594
1168,TAMIL NADU,KARNATAKA,283251
1169,TRIPURA,TRIPURA,287475
1170,UTTAR PRADESH,PUNJAB,291331
1171,BIHAR,WEST BENGAL,299184
1172,BIHAR,MAHARASHTRA,310656
1173,RAJASTHAN,GUJARAT,312794
1174,UTTAR PRADESH,MADHYA PRADESH,320604
1176,MADHYA PRADESH,MAHARASHTRA,333821
1177,BIHAR,UTTAR PRADESH,349722
1178,UTTAR PRADESH,UTTARAKHAND,363951
1179,MAHARASHTRA,GUJARAT,376119
1180,ANDHRA PRADESH,KARNATAKA,381946
1181,BIHAR,JHARKHAND,385492
1183,UTTAR PRADESH,HARYANA,472193
1184,KARNATAKA,MAHARASHTRA,478359
1185,UTTAR PRADESH,GUJARAT,504548
1186,BIHAR,NCT OF DELHI,516632
1187,HIMACHAL PRADESH,HIMACHAL PRADESH,650474
1188,JAMMU & KASHMIR,JAMMU & KASHMIR,718300
1191,UTTAR PRADESH,NCT OF DELHI,959658
1192,UTTARAKHAND,UTTARAKHAND,1010264
1193,UTTAR PRADESH,MAHARASHTRA,1149726
1195,HARYANA,HARYANA,1928466
1196,JHARKHAND,JHARKHAND,2206400
1197,CHHATTISGARH,CHHATTISGARH,2434137
1199,PUNJAB,PUNJAB,2568732
1200,ASSAM,ASSAM,2577931
1206,ODISHA,ODISHA,3983612
1208,KERALA,KERALA,5380723
1210,RAJASTHAN,RAJASTHAN,5783229
1211,BIHAR,BIHAR,6251224
1213,MADHYA PRADESH,MADHYA PRADESH,6685861
1215,KARNATAKA,KARNATAKA,7170934
1216,GUJARAT,GUJARAT,7191353
1218,WEST BENGAL,WEST BENGAL,7643237
1222,TAMIL NADU,TAMIL NADU,9309427
1224,ANDHRA PRADESH,ANDHRA PRADESH,9988305
1226,UTTAR PRADESH,UTTAR PRADESH,12128007
1228,MAHARASHTRA,MAHARASHTRA,15996425
